Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Sphingomonas	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	2	0	5	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	13	4	11	8	15	6	8	12
Sporacetigenium	0	7	0	3	1	4	1	0	2	2	1	1	4	1	7	1	1	3	2	1	2	2	0	3	4	3	2	2	9	1	3	5	0	0	5	0	0	0	0	2	6	7
Sporanaerobacter	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporobacter	2	3	1	1	0	1	0	0	0	0	0	5	0	7	6	0	1	4	4	4	1	6	0	6	5	5	3	2	6	0	0	1	1	4	1	4	1	2	0	1	8	11
Staphylococcus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	8	0	12
Stenotrophomonas	4	0	0	0	0	7	0	3	22	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	2	6	0	1	0	0	0	1	0	11	0	0	0	0	0	0
Streptococcus	1	0	6	1	0	2	0	0	2	0	4	1	0	0	5	2	1	0	2	0	0	1	0	0	0	1	1	1	3	2	0	0	0	0	4	1	0	3	2	0	2	13
Sutterella	0	0	0	0	0	8	0	0	23	0	0	11	0	0	0	0	171	0	0	0	0	0	298	302	2	164	1	0	73	8	0	5	0	35	59	0	0	0	31	39	5	3
Syntrophococcus	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
TM7_genera_incertae_sedis	24	8	0	11	14	25	11	46	7	21	17	18	29	241	7	120	15	13	38	12	37	44	5	27	8	14	5	20	0	3	20	4	9	8	6	4	14	18	37	17	25	27
Tannerella	19	10	2	12	26	19	4	5	4	10	3	6	3	10	8	18	13	7	21	4	7	5	3	11	17	19	15	5	13	8	8	19	8	3	12	18	3	2	12	25	20	14
Turicibacter	15	213	0	76	34	66	112	10	76	31	9	38	8	52	112	4	17	62	34	35	148	47	19	0	35	44	58	115	254	58	100	118	39	33	20	27	35	39	12	24	10	200
Undibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0
Vampirovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Victivallis	7	19	0	3	7	3	0	0	4	0	9	8	0	1	4	1	0	1	8	11	0	0	1	0	10	0	24	18	1	1	6	0	0	2	2	3	0	3	6	2	4	0
Xylanibacter	0	0	0	4	0	0	1	0	3	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Zoogloea	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
